Reference, Value, Footprint, Datasheet
SID1,8580,Housings_DIP:DIP-28_W15.24mm_LongPads,
pic1,PIC18f452,Housings_DIP:DIP-40_W15.24mm,
shft1,74HC595,Housings_DIP:DIP-16_W7.62mm_LongPads,
shft2,74HC595,Housings_DIP:DIP-16_W7.62mm_LongPads,
U2,24C512,Housings_DIP:DIP-8_W7.62mm,
U4,24C512,Housings_DIP:DIP-8_W7.62mm,
U5,24C512,Housings_DIP:DIP-8_W7.62mm,
C1,LCD,Pin_Headers:Pin_Header_Straight_2x08,
P3,MEM,Pin_Headers:Pin_Header_Straight_2x02,
C4,22nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C5,22nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
P4,SID_MEM,Pin_Headers:Pin_Header_Straight_1x02,
R2,1k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
R4,100,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
C9,100nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C10,100nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C11,100nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C12,100nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
P10,IN1,Pin_Headers:Pin_Header_Straight_1x02,
P11,IN2,Pin_Headers:Pin_Header_Straight_1x02,
P12,STEREO OUT,Pin_Headers:Pin_Header_Straight_1x04,
R9,1k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
C16,470pF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C14,1nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
Q1,BC547,TO_SOT_Packages_THT:TO-92_Molded_Narrow,
C17,470pF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C15,1nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
Q2,BC547,TO_SOT_Packages_THT:TO-92_Molded_Narrow,
C2,33pF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
Y1,10Mhz,Crystals:Crystal_HC49-U_Vertical,
C3,33pF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
P7,Midi Out,Pin_Headers:Pin_Header_Straight_1x03,
P8,Midi In,Pin_Headers:Pin_Header_Straight_1x03,
R5,1k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
R6,1k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
R10,1k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
R7,10k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
R8,10k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
R14,220,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
R15,220,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
R16,220,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
D1,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
R12,1.2k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
R13,5.6k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
RV1,POT,Encoder:FMRV,
R11,68,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
P2,MEM_sel,Pin_Headers:Pin_Header_Straight_2x02,
U3,24C512,Housings_DIP:DIP-8_W7.62mm,
P13,J11,Pin_Headers:Pin_Header_Straight_1x02,
P14,CAN,Pin_Headers:Pin_Header_Straight_1x02,
R17,1k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
D2,1N4148,Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10,
C6,22nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C7,22nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
R1,1k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
opt2,6n138,Housings_DIP:DIP-8_W7.62mm,
P6,J9 J8,Pin_Headers:Pin_Header_Straight_2x05,
C13,100nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
SID2,8580,Housings_DIP:DIP-28_W15.24mm_LongPads,
P1,9V,Connect:bornier2,
P9,5v,Connect:bornier2,
CP1,10uF,Capacitors_ThroughHole:C_Radial_D5_L6_P2.5,
CP2,10uF,Capacitors_ThroughHole:C_Radial_D5_L6_P2.5,
R3,10k,Resistors_ThroughHole:Resistor_Horizontal_RM7mm,
C8,100nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C18,100nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
H1,3mmHole,Mounting_Holes:MountingHole_3.2mm_M3,
H2,3mmHole,Mounting_Holes:MountingHole_3.2mm_M3,
H3,3mmHole,Mounting_Holes:MountingHole_3.2mm_M3,
H4,3mmHole,Mounting_Holes:MountingHole_3.2mm_M3,
CP3,1uF,Capacitors_ThroughHole:C_Radial_D5_L6_P2.5,
CP4,1uF,Capacitors_ThroughHole:C_Radial_D5_L6_P2.5,
C20,1nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
C19,1nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
DB1,Diode_Bridge,Gajda_power:Bridge-rond,
CP5,2200uF,Capacitors_ThroughHole:C_Radial_D12.5_L25_P5,
C21,330nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
CP6,10uF,Capacitors_ThroughHole:C_Radial_D5_L6_P2.5,
C22,100nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
DB2,Diode_Bridge,Gajda_power:Bridge-rond,
CP7,2200uF,Capacitors_ThroughHole:C_Radial_D12.5_L25_P5,
C23,330nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
CP8,10uF,Capacitors_ThroughHole:C_Radial_D5_L6_P2.5,
C24,100nF,Capacitors_ThroughHole:C_Rect_L4_W2.5_P2.5,
U6,7809 9v,Power_Integrations:TO-220,
U1,7805 5v,Power_Integrations:TO-220,
P15,9VOnly,Pin_Headers:Pin_Header_Straight_1x02,
P5,J5A,Pin_Headers:Pin_Header_Straight_2x06,
P16,J5B,Pin_Headers:Pin_Header_Straight_1x03,
